Provincias;Sexo;Periodo;Total
Total;Total;2018;46.722.980
02 Albacete;Total;2018;388.786
03 Alicante/Alacant;Total;2018;1.838.819
04 Almería;Total;2018;709.340
01 Araba/Álava;Total;2018;328.868
33 Asturias;Total;2018;1.028.244
05 Ávila;Total;2018;158.498
06 Badajoz;Total;2018;676.376
07 Balears, Illes;Total;2018;1.128.908
08 Barcelona;Total;2018;5.609.350
48 Bizkaia;Total;2018;1.149.628
09 Burgos;Total;2018;357.070
10 Cáceres;Total;2018;396.487
11 Cádiz;Total;2018;1.238.714
39 Cantabria;Total;2018;580.229
12 Castellón/Castelló;Total;2018;576.898
13 Ciudad Real;Total;2018;499.100
14 Córdoba;Total;2018;785.240
15 Coruña, A;Total;2018;1.119.351
16 Cuenca;Total;2018;197.222
20 Gipuzkoa;Total;2018;720.592
17 Girona;Total;2018;761.947
18 Granada;Total;2018;912.075
19 Guadalajara;Total;2018;254.308
21 Huelva;Total;2018;519.932
22 Huesca;Total;2018;219.345
23 Jaén;Total;2018;638.099
24 León;Total;2018;463.746
25 Lleida;Total;2018;432.866
27 Lugo;Total;2018;331.327
28 Madrid;Total;2018;6.578.079
29 Málaga;Total;2018;1.641.121
30 Murcia;Total;2018;1.478.509
31 Navarra;Total;2018;647.554
32 Ourense;Total;2018;309.293
34 Palencia;Total;2018;162.035
35 Palmas, Las;Total;2018;1.109.175
36 Pontevedra;Total;2018;941.772
26 Rioja, La;Total;2018;315.675
37 Salamanca;Total;2018;331.473
38 Santa Cruz de Tenerife;Total;2018;1.018.510
40 Segovia;Total;2018;153.342
41 Sevilla;Total;2018;1.939.887
42 Soria;Total;2018;88.600
43 Tarragona;Total;2018;795.902
44 Teruel;Total;2018;134.572
45 Toledo;Total;2018;687.391
46 Valencia/València;Total;2018;2.547.986
47 Valladolid;Total;2018;519.851
49 Zamora;Total;2018;174.549
50 Zaragoza;Total;2018;954.811
51 Ceuta;Total;2018;85.144
52 Melilla;Total;2018;86.384
