Index;Reviewer Name;Reviewer Rating;Review;Time
0;Antonio;"<span aria-label="" 2 estrellas "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";Esta semana recibi un envase roto y parte del producto derramado en la caja. Lo he comunicado 4 veces en su web a traves de mi cuenta (con fotos adjuntas) como ellos indican y nadie me responde. Desde luego un signo de FALTA DE RESPETO…;Hace un mes
1;Daniel;"<span aria-label="" 4 estrellas "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";"Compré esta agua micelar como segundo paso de la doble limpieza y me ha decepcionado; el envase es de 200 ml y está bien de precio, aunque me suelen gustar más los envases transparentes ya que a golpe de vista ves la cantidad que hay en el…";Hace una semana
2;Antonio;"<span aria-label="" 5 estrellas "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/> </span>";Mi primera impresión es que todo es muy fácil de realizar a través de la página con unos precios buenos. Acabo de hacer 2 pedidos por valor de 149 EUROS. COMENTARÉ MI EXPERIENCIA FINAL CUANDO RECIBA PRODUCTOS. De momento Recomendable. Pues llegó todo perfecto. Gracias.;Hace un mes
3;Daniel;"<span aria-label="" 1 estrella "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";Llevo tiempo comprando cosas en su web y todo de casi 100€. Pues hoy hemos decidido que esté va a ser el último pedido. Al realizar el pedido me aparecía reflejado dos descuentos aplicados y acepté y me llevó a la pasarela de de pago (en la…;Hace 2 semanas
4;Antonio;"<span aria-label="" 1 estrella "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";Llevo varios años comprando en mifarma. En el último pedido me han enviado un bote de un contorno de ojos vacío. Cuando he reclamado me han dicho que tenía 48 horas para hacerlo. Yo no abro todos los botes cuando los recibo, pido bastantes…;Hace 2 meses
5;Daniel;"<span aria-label="" 1 estrella "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";Hola, os he escrito 2 veces para saber dónde está mi pedido y no me habéis contestado. Lo realicé el 9 de enero y desde entonces lo único que sé por la compañía envialia es que estuvo en incidencia y después me han dicho que habéis pedido…;Hace 2 meses
6;Antonio;"<span aria-label="" 1 estrella "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";Atención al cliente pésima. En su web indican que puedes cancelar un pedido antes de que lo envíen y es mentira. Aunque solicites la cancelación minutos después de hacerlo, tardan en contestarte dos días y ya te dicen que no se puede…;Hace 2 meses
7;Daniel;"<span aria-label="" 5 estrellas "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/> </span>";Mifarma es calidad, rapidez y seguridad. Es mi nueva parafarmacia de confianza, el trato es impecable en caso de dudas y de que te das cuenta ya tienes el pedido en casa. Además siempre cuenta con muchas ofertas que hace que puedas seguir…;Hace 2 meses
8;Antonio;"<span aria-label="" 1 estrella "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";"Me han dado gato por liebre, poco profesionales y falta de escrúpulos. No volveré a comprar aquí y allí donde no llegue, mandaré recado.
Ya me puse en contacto con el servicio de atención al cliente, tal y como…";Hace 2 meses
9;Daniel;"<span aria-label="" 2 estrellas "" class=""ODSEW-ShBeI-H1e3jb"" jsan=""7.ODSEW-ShBeI-H1e3jb,0.aria-label,0.role,t-1xcf3_7ROhA"" jstcache=""127"" role=""img""> <img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""0"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke vzX5Ic"" jsan=""7.hCCjke,7.vzX5Ic,8.src,0.alt"" jsinstance=""1"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""2"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""3"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/><img alt="""" class=""hCCjke"" jsan=""7.hCCjke,8.src,0.alt"" jsinstance=""*4"" jstcache=""170"" src=""//maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png""/> </span>";Llevo muchos años comprando en esta tienda. Precios muy competitivos pero el servicio post-venta nefasto. No contestan los mensajes ni cogen los teléfonos. He recibido mi último pedido 10 días después y con la Caja abollada y las cajas de…;Hace 3 semanas
